name,version,resolved
@csstools/postcss-stepped-value-functions,1.0.1,https://registry.npmjs.org/@csstools/postcss-stepped-value-functions/-/postcss-stepped-value-functions-1.0.1.tgz
@csstools/postcss-text-decoration-shorthand,1.0.0,https://registry.npmjs.org/@csstools/postcss-text-decoration-shorthand/-/postcss-text-decoration-shorthand-1.0.0.tgz
@csstools/postcss-trigonometric-functions,1.0.2,https://registry.npmjs.org/@csstools/postcss-trigonometric-functions/-/postcss-trigonometric-functions-1.0.2.tgz
@csstools/postcss-unset-value,1.0.2,https://registry.npmjs.org/@csstools/postcss-unset-value/-/postcss-unset-value-1.0.2.tgz
@csstools/selector-specificity,2.2.0,https://registry.npmjs.org/@csstools/selector-specificity/-/selector-specificity-2.2.0.tgz
@emotion/hash,0.9.2,https://registry.npmjs.org/@emotion/hash/-/hash-0.9.2.tgz
@emotion/memoize,0.9.0,https://registry.npmjs.org/@emotion/memoize/-/memoize-0.9.0.tgz
@emotion/react,11.14.0,N/A
@emotion/serialize,1.3.3,https://registry.npmjs.org/@emotion/serialize/-/serialize-1.3.3.tgz
@emotion/unitless,0.10.0,https://registry.npmjs.org/@emotion/unitless/-/unitless-0.10.0.tgz
@emotion/utils,1.4.2,N/A
@eslint-community/regexpp,4.5.1,N/A
@forge/api,6.4.3,https://registry.npmjs.org/@forge/api/-/api-6.4.3.tgz
@forge/auth,0.0.9,https://registry.npmjs.org/@forge/auth/-/auth-0.0.9.tgz
@forge/bridge,5.10.2,https://registry.npmjs.org/@forge/bridge/-/bridge-5.10.2.tgz
@forge/egress,2.3.1,https://registry.npmjs.org/@forge/egress/-/egress-2.3.1.tgz
@forge/i18n,0.0.7,https://registry.npmjs.org/@forge/i18n/-/i18n-0.0.7.tgz
@forge/manifest,11.3.2,https://registry.npmjs.org/@forge/manifest/-/manifest-11.3.2.tgz
@forge/resolver,1.7.1,https://registry.npmjs.org/@forge/resolver/-/resolver-1.7.1.tgz
@forge/storage,2.0.3,https://registry.npmjs.org/@forge/storage/-/storage-2.0.3.tgz
@isaacs/balanced-match,4.0.1,https://registry.npmjs.org/@isaacs/balanced-match/-/balanced-match-4.0.1.tgz
@isaacs/brace-expansion,5.0.0,https://registry.npmjs.org/@isaacs/brace-expansion/-/brace-expansion-5.0.0.tgz
@isaacs/cliui,8.0.2,https://registry.npmjs.org/@isaacs/cliui/-/cliui-8.0.2.tgz
@istanbuljs/load-nyc-config,1.1.0,https://registry.npmjs.org/@istanbuljs/load-nyc-config/-/load-nyc-config-1.1.0.tgz
@istanbuljs/schema,0.1.3,https://registry.npmjs.org/@istanbuljs/schema/-/schema-0.1.3.tgz
@jest/console,28.1.3,https://registry.npmjs.org/@jest/console/-/console-28.1.3.tgz
@jest/diff-sequences,30.0.1,https://registry.npmjs.org/@jest/diff-sequences/-/diff-sequences-30.0.1.tgz
@jest/expect-utils,30.2.0,https://registry.npmjs.org/@jest/expect-utils/-/expect-utils-30.2.0.tgz
@jest/get-type,30.1.0,N/A
@jest/pattern,30.0.1,https://registry.npmjs.org/@jest/pattern/-/pattern-30.0.1.tgz
@jest/schemas,28.1.3,N/A
@jest/schemas,30.0.5,N/A
