name,version
postcss-loader,6.2.1
postcss-logical,5.0.4
postcss-media-minmax,5.0.0
postcss-merge-longhand,5.1.7
postcss-merge-rules,5.1.4
postcss-minify-font-values,5.1.0
postcss-minify-gradients,5.1.1
postcss-minify-params,5.1.4
postcss-minify-selectors,5.2.1
postcss-modules-extract-imports,3.0.0
postcss-modules-local-by-default,4.0.3
postcss-modules-scope,3.0.0
postcss-modules-values,4.0.0
postcss-nested,6.0.1
postcss-nesting,10.2.0
postcss-normalize,10.0.1
postcss-normalize-charset,5.1.0
postcss-normalize-display-values,5.1.0
postcss-normalize-positions,5.1.1
postcss-normalize-repeat-style,5.1.1
postcss-normalize-string,5.1.0
postcss-normalize-timing-functions,5.1.0
postcss-normalize-unicode,5.1.1
postcss-normalize-url,5.1.0
postcss-normalize-whitespace,5.1.1
postcss-opacity-percentage,1.1.3
postcss-ordered-values,5.1.3
postcss-overflow-shorthand,3.0.4
postcss-page-break,3.0.4
postcss-place,7.0.5
postcss-preset-env,7.8.3
postcss-pseudo-class-any-link,7.1.6
postcss-reduce-initial,5.1.2
postcss-reduce-transforms,5.1.0
postcss-replace-overflow-wrap,4.0.0
postcss-selector-not,6.0.1
postcss-selector-parser,6.0.13
postcss-svgo,5.1.0
postcss-unique-selectors,5.1.1
postcss-value-parser,4.2.0
pretty-bytes,5.6.0
pretty-error,4.0.0
pretty-format,27.5.1
pretty-format,28.1.3
pretty-format,30.2.0
promise,8.3.0
prompts,2.4.2
prop-types,15.8.1
prosemirror-commands,1.6.2
prosemirror-dropcursor,1.8.1
prosemirror-history,1.4.1
prosemirror-keymap,1.2.2
prosemirror-markdown,1.13.1
prosemirror-model,1.24.1
prosemirror-state,1.4.3
prosemirror-transform,1.10.2
prosemirror-utils,1.2.2
prosemirror-view,1.37.1
punycode,2.3.0
punycode.js,2.3.1
q,1.5.1
raf,3.4.1
randombytes,2.1.0
react,18.3.1
react-app-polyfill,3.0.0
react-dev-utils,12.0.1
react-dom,18.3.1
react-error-overlay,6.0.11
react-fast-compare,3.2.2
react-is,16.13.1
react-is,17.0.2
react-is,18.2.0
react-popper,2.3.0
react-refresh,0.11.0
react-scripts,5.0.1
react-uid,2.4.0
read-cache,1.0.0
recursive-readdir,2.2.3
redent,3.0.0
regenerate,1.4.2
regenerate-unicode-properties,10.1.0
regenerator-runtime,0.13.11
regenerator-transform,0.15.1
regex-parser,2.2.11
regexp.prototype.flags,1.5.0
regexpu-core,5.3.2
regjsparser,0.9.1
relateurl,0.2.7
renderkid,3.0.0
require-from-string,2.0.2
resolve,1.22.2
resolve,2.0.0-next.4
resolve-from,5.0.0
resolve-url-loader,4.0.0
resolve.exports,1.1.1
rollup,2.79.2
rollup-plugin-terser,7.0.2
rope-sequence,1.3.4
safe-buffer,5.1.2
safer-buffer,2.1.2
sanitize.css,13.0.0
sass-loader,12.6.0
sax,1.2.4
schema-utils,2.7.0
schema-utils,2.7.1
schema-utils,3.3.0
schema-utils,4.2.0
schema-utils,4.3.2
semver,6.3.1
semver,7.7.3
serialize-javascript,4.0.0
serialize-javascript,6.0.2
shell-quote,1.8.1
side-channel,1.1.0
signal-exit,4.1.0
sisteransi,1.0.5
slash,3.0.0
slash,4.0.0
source-list-map,2.0.1
source-map,0.6.1
source-map,0.7.4
source-map,0.8.0-beta.0
source-map-js,1.2.1
source-map-loader,3.0.2
sourcemap-codec,1.4.8
sprintf-js,1.0.3
stable,0.1.8
stack-utils,2.0.6
stackframe,1.3.4
string-length,4.0.2
string-length,5.0.1
string-natural-compare,3.0.1
string-width,4.2.3
string-width,5.1.2
string-width-cjs,4.2.3
string.prototype.matchall,4.0.8
stringify-object,3.3.0
strip-ansi,6.0.1
strip-ansi,7.1.0
strip-ansi,7.1.2
strip-ansi-cjs,6.0.1
strip-bom,3.0.0
strip-comments,2.0.1
strip-indent,3.0.0
style-loader,3.3.3
stylehacks,5.1.1
sucrase,3.32.0
supports-color,5.5.0
supports-color,7.2.0
supports-color,8.1.1
supports-preserve-symlinks-flag,1.0.0
svgo,1.3.2
svgo,2.8.0
tailwindcss,3.3.2
tapable,1.1.3
tapable,2.2.1
temp-dir,2.0.0
tempy,0.6.0
terser,5.43.1
terser-webpack-plugin,5.3.14
test-exclude,6.0.0
text-table,0.2.0
thenify,3.3.1
thenify-all,1.6.0
tiny-invariant,1.3.3
tmpl,1.0.5
tr46,1.0.1
tryer,1.0.1
ts-interface-checker,0.1.13
ts-jest,29.4.6
tsconfig-paths,3.14.2
tslib,2.6.0
tslib,2.8.1
tsutils,3.21.0
type-fest,0.16.0
type-fest,0.21.3
type-fest,4.41.0
typescript,5.9.3
uc.micro,1.0.6
uc.micro,2.1.0
uglify-js,3.19.3
undici,7.16.0
unicode-canonical-property-names-ecmascript,2.0.0
unicode-match-property-ecmascript,2.0.0
unicode-match-property-value-ecmascript,2.1.0
unicode-property-aliases-ecmascript,2.1.0
unique-string,2.0.0
universalify,2.0.0
unquote,1.1.1
upath,1.2.0
uri-js,4.4.1
use-memo-one,1.1.3
util.promisify,1.0.1
